id,address,city,latitude,longitude,name,zip_code,state
1,800 N Canal Blvd,Thibodaux,29.814697,-90.814742,SONIC Drive In,70301,LA
2,800 N Canal Blvd,Thibodaux,29.814697,-90.814742,SONIC Drive In,70301,LA
3,206 Wears Valley Rd,Pigeon Forge,35.803788,-83.580553,Taco Bell,37863,TN
4,3652 Parkway,Pigeon Forge,35.782339,-83.551408,Arby's,37863,TN
5,2118 Mt Zion Parkway,Morrow,33.562738,-84.321143,Steak 'n Shake,30260,GA
6,9768 Grand River Ave,Detroit,42.368823,-83.138251,Wendy's,48204,MI
7,13600 W McNichols Rd,Detroit,42.416819,-83.180444,Burger King,48235,MI
8,4111 Oceanside Blvd,Oceanside,33.205722,-117.288645,Chipotle Mexican Grill,92056,CA
9,162 Old Country Rd,Riverhead,40.937359,-72.650142,7-Eleven,11901,NY
10,1407 S Stockton Ave,Monahans,31.580721,-102.891455,Dairy Queen,79756,TX
11,208 W Mason St,Mabank,32.36602,-96.103364,Dairy Queen,75147,TX
12,5801 Highway 6,Missouri City,29.570079,-95.568166,Dairy Queen,77459,TX
13,3454 Manchester Rd,Akron,41.005682,-81.555774,Mr. Hero,44319,OH
14,1500 E Main St,Eastland,32.401088,-98.790162,Golden Chick,76448,TX
15,1190 W Foothill Blvd,Azusa,34.133291,-117.924566,Carl's Jr,91702,CA
16,601 N Main St,Summerville,33.026572,-80.169733,Checkers,29483,SC
17,1927 Woodville Road,Oregon,41.627298,-83.502436,Rally's,43616,OH
18,6316 W 89th St,Los Angeles,33.955923,-118.396443,Togo's,90045,CA
19,3105 Highway 80 E,Pearl,32.282328,-90.11677,Rally's,39208,MS
20,2860 E Paris Ave SE,Grand Rapids,42.91147,-85.56812,Checkers,49512,MI
21,2424 E State Road 44,Shelbyville,39.523704,-85.743659,Rally's,46176,IN
22,1611 Broadway,Brooklyn,40.685506,-73.914457,Checkers,11207,NY
23,1720 Walton Way,Augusta,33.475292,-81.995946,Checkers,30904,GA
24,17620 Grand River Ave,Detroit,42.400037,-83.21574,Checkers,48227,MI
25,196 Massachusetts Ave,Arlington,42.405651,-71.14212,Little Q Hot Pot,2474,MA
26,1224 State St,Schenectady,42.79792,-73.924364,McDonald's,12304,NY
27,1232 Ulster Ave,Kingston,41.967079,-73.988583,McDonald's,12401,NY
28,1188 Avenue of The Americas,New York,40.757558,-73.981671,McDonald's,10036,NY
29,114 Delancey St,New York,40.718943,-73.988306,McDonald's,10002,NY
30,1050 Front St,Uniondale,40.709646,-73.591453,McDonald's,11553,NY
31,105 Jericho Tpke,Jericho,40.780233,-73.55934,McDonald's,11753,NY
32,105 Jericho Tpke,Jericho,40.780233,-73.55934,McDonald's,11753,NY
33,106 Wolf Rd,Albany,42.716812,-73.809319,McDonald's,12205,NY
34,101 E 170th St,Bronx,40.839569,-73.915927,McDonald's,10452,NY
35,103 Brookview Dr,Schenectady,42.741061,-73.913673,McDonald's,12303,NY
36,1028 Mckinley Pkwy,Buffalo,42.857899,-78.825089,McDonald's,14220,NY
37,10 Main St,Tonawanda,43.021019,-78.878167,McDonald's,14150,NY
38,300 Mishawum Rd,Woburn,42.503903,-71.132748,McDonald's,1801,MA
39,1190 Providence Rd,Whitinsville,42.125526,-71.645913,McDonald's,1588,MA
40,212 Main St,Wilmington,42.557448,-71.181499,McDonald's,1887,MA
41,44 E Main St,Webster,42.055826,-71.873999,McDonald's,1570,MA
42,789 Main St,Waltham,42.376247,-71.241667,McDonald's,2451,MA
43,20 Main St,Townsend,42.650503,-71.662674,McDonald's,1469,MA
44,595 Main St,Walpole,42.157222,-71.243549,McDonald's,2081,MA
45,282 Winthrop St,Taunton,41.88896,-71.120789,McDonald's,2780,MA
46,660 Liberty St,Springfield,42.12193,-72.584242,McDonald's,1104,MA
47,360 Main St,Springfield,42.091561,-72.579647,McDonald's,1105,MA
48,2392 Main St,Springfield,42.111552,-72.603359,McDonald's,1107,MA
49,1402 Allen St,Springfield,42.095053,-72.512539,McDonald's,1118,MA
50,1610 Boston Rd,Springfield,42.142989,-72.48923,McDonald's,1129,MA
51,59 W Main St,Spencer,42.23341,-72.012516,McDonald's,1562,MA
52,59 W Main St,Spencer,42.23341,-72.012516,McDonald's,1562,MA
53,1433 SW 107th Ave,Miami,25.754984,-80.368058,Five Guys,33174,FL
54,1601 W Kirby St,Wylie,33.007329,-96.554127,Taco Bell,75098,TX
55,7425 S Broadway Ave,Tyler,32.274786,-95.306757,Taco Bell,75703,TX
56,100 Business Loop 70 E,Columbia,38.964944,-92.336364,Burger King,65203,MO
57,615 Martin Luther King Jr Blvd,Savannah,32.070343,-81.101032,Wendy's,31401,GA
58,1123 Roswell Rd,Marietta,33.95111,-84.518962,Wendy's,30062,GA
59,273 Keys Ferry St,McDonough,33.446887,-84.138326,Wendy's,30253,GA
60,1117 W Spring St,Monroe,33.792748,-83.731443,Wendy's,30655,GA
61,430 S Belair Rd,Augusta,33.486344,-82.13351,Wendy's,30907,GA
62,2341 N Columbia St,Milledgeville,33.108582,-83.254192,Wendy's,31061,GA
63,260 Cooper Rd,Loganville,33.880381,-83.939657,Wendy's,30052,GA
64,4331 Atlanta Hwy,Loganville,33.839726,-83.905798,Wendy's,30052,GA
65,3015 Panola Rd,Lithonia,33.699522,-84.17274,Wendy's,30038,GA
66,184 Endicott St,Danvers,42.547923,-70.942014,Burger King,1923,MA
67,1291 Boston Rd,Springfield,42.140526,-72.50087,Boston Road Pizza,1119,MA
68,6134 State Route 14,Ravenna,41.157059,-81.219054,McDonald's,44266,OH
69,4402 Little Rd,Arlington,32.679467,-97.195027,Boston Market,76016,TX
